,artist_mbid,artist_name,artist_playmeid,danceability,duration,energy,key,loudness,mode,release,release_7digitalid,song_hotttnesss,song_id,tempo,time_signature,title,track_7digitalid,track_id,year
0,c43bb0d6-94d7-410f-80fb-e5a243b18d23,Raphaël,2676,0.0,148.74077,0.0,0,-9.636,1,Je Sais Que La Terre Est Plate (Deluxe),275907,0.54795294198,SOGSMXL12A81C23D88,124.059,4,Je Sais Que La Terre Est Plate,3073568,TRARRZU128F4253CA2,2008
1,a69cd724-2f57-4ed0-bfed-ba20401eb84c,Julie Zenatti,5772,0.0,252.99546,0.0,1,-11.061,0,Comme Vous,382807,0.47563846801,SOMBCOW12AAF3B229F,80.084,4,On Efface,4249244,TRARRJL128F92DED0E,2004
2,60bd8a1c-c093-4849-8f28-08101ca059b1,The Baltimore Consort,20540,0.0,78.0273,0.0,3,-24.14,1,Watkins Ale -  Music of the English Renaissance,490659,,SOEYIHF12AB017B5F4,54.874,4,Howells Delight,5436063,TRARRUZ128F9307C57,0
3,44b5b950-2ae2-403a-8c67-82d8fc72033d,I Hate Sally,-1,0.0,163.63057,0.0,7,-5.795,1,Don't Worry Lady,116616,,SODJYEC12A8C13D757,77.15,3,Martha Served,1199928,TRARRWA128F42A0195,2007
4,0e6524bd-6641-46a6-bce5-96f06c19aa46,Orlando Pops Orchestra,-1,0.0,199.99302,0.0,10,-16.477,1,Easy Listening: Cartoon Songs,767122,,SOGSOUE12A58A76443,120.382,4,Zip-A-Dee-Doo-Dah (Song of the South),8493899,TRARRPG12903CD1DE9,0
5,097c86bc-b2b6-4791-833b-39b5385fe3e6,Brand X,88169,0.0,279.35302,0.0,9,-12.474,1,X Communication : Trilogy II,503347,0.445454525493,SOVVDCO12AB0187AF7,99.024,4,Liquid Time (composition by John Goodsall),5570526,TRARRER128F9328521,0
6,efaefde1-e09b-4d49-9d8e-b1304d2ece8d,Amorphis,51681,0.0,255.03302,0.0,9,-4.393,1,Karelian Isthmus,239673,0.327736683178,SOKSZVC12A8C142004,175.673,4,Misery Path (From the Privilege of Evil),2999402,TRARRYC128F428CCDA,0
7,de885e5b-284d-4dac-954c-48c7d7e2ebe5,Inoki,-1,0.0,259.3171,0.0,1,-5.05,1,Nobiltà di strada,124304,,SORWTIF12A6D4FAA41,87.999,4,Nuovi Re pt. I I (feat. Tek money - Lady Tambler),1283021,TRARROY128F42281F7,0
8,37c78aeb-d196-42b5-b991-6afb4fc9bc2e,Dead Kennedys,6004,0.0,216.842,0.0,10,-4.264,1,Milking The Sacred Cow,181162,0.788388183322,SOZQSGL12AF72A9145,92.897,4,Halloween,1959132,TRARREF128F422FD96,1982
9,050ce7ea-0935-430f-bcec-b83e702298eb,Brigada Victor Jara,-1,0.0,312.99873,0.0,4,-13.885,0,Novas Vos Trago,337773,,SOKRHNY12AB01837DB,86.981,5,Parto em terras distantes,3779273,TRARRVB128F92F47CA,1998
10,17e137fb-59e5-4fd7-af48-afc34995396c,Atreyu,-1,0.0,218.90567,0.0,0,-4.707,0,The Curse,290671,0.681092029582,SOBTEHX12A6D4FBF18,157.715,4,You Eclipsed By Me (Album Version),3260887,TRARRQO128F427B5F5,2004
11,e8143d56-f2e9-4122-9666-6aa5352dadcd,Mistress,160877,0.0,580.70159,0.0,0,-4.523,1,In Disgust We Trust,682479,0.401486711428,SOXGDVW12AB01864E7,146.331,4,Shovel,7574139,TRARRMK12903CDF793,2005
12,2e3b75d8-00a8-486a-b4e7-a1f8f65e64c9,Shadows Fall,12510,0.0,283.48036,0.0,0,-4.076,0,The War Within,734726,0.687873714973,SOKMPKV12A67AE241B,84.992,4,What Drives The Weak,8138989,TRARUOP12903CF2384,2004
